business_name,business_id,snapshot_at,creative_id,name,format,age_days,spend,purchases,purchase_value,impressions,link_clicks,roas,cpa,ctr,bench_roas,bench_cpa,bench_reliability,fatigue_status,frequency,economics_status,target_roas,breakeven_roas,deploy_compat,truth_state,operator_disposition,v1_primary_action,v1_lifecycle_state,v1_legacy_action,v1_confidence,v1_score
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1lk4izw,death,image,30,328.7,3,520,7073,247,1.58,109.57,3.49,,,,watch,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.66,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_2jh4dm,faith,image,30,324.83,1,125,9337,317,0.38,324.83,3.4,,,,none,,blocked,2.2,1.71,compatible,live_confident,standard,block_deploy,blocked,kill,0.54,31
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_ytzmrs,watchthat,image,30,226.26,0,0,5735,169,0,0,2.95,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,68
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1c77me5,risklooksbetter,image,30,186.57,0,0,6303,196,0,0,3.11,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_j0f9os,ReligiousNecklaceFlex,video,30,181.54,0,0,7752,358,0,0,4.62,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.54,70
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_15qkuwr,legacyrevise,image,30,154.4,1,189.5,5346,160,1.23,154.4,2.99,,,,none,,blocked,2.2,1.71,compatible,live_confident,standard,block_deploy,blocked,kill,0.54,27
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1cr1zc9,EMB - TargeryenFlex,video,30,119.1,0,0,14009,264,0,0,1.88,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_v6rxpx,bestseller,image,30,116.72,2,316,5213,128,2.71,58.36,2.46,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,86
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1qql2ue,TargeryenFlex,video,30,105.97,1,206.25,9333,208,1.95,105.97,2.23,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,69
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_14mo3mu,ring,image,30,100.84,1,262.91,4718,118,2.61,100.84,2.5,,,,watch,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,60
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1uqd6gf,evolution,image,30,93.66,0,0,2194,77,0,0,3.51,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,70
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_yqjwhk,MedusaFlex,video,30,70.89,0,0,2291,80,0,0,3.49,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1vyej00,EMB - ReligiousNecklace,video,30,61.21,1,200.74,3038,65,3.28,61.21,2.14,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,77
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_426qx5,EMB - Mix,video,30,57.46,0,0,3514,93,0,0,2.65,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1drk18s,bestsellerringsgothic,image,30,56.7,1,153,2222,59,2.7,56.7,2.66,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,86
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_jc56ov,Tastemythrevise,image,30,47.95,0,0,1035,19,0,0,1.84,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_nheqjy,Mix,video,30,38.68,1,154.71,1692,79,4,38.68,4.67,,,,none,,blocked,2.2,1.71,limited,degraded_missing_truth,review_hold,keep_in_test,validating,test_more,0.44,92
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1ykaj7n,softness,image,30,30.25,0,0,571,13,0,0,2.28,,,,none,,blocked,2.2,1.71,limited,inactive_or_immaterial,archive_only,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1ff8m04,bestsellersnecklace,image,30,30.21,0,0,987,23,0,0,2.33,,,,none,,blocked,2.2,1.71,limited,inactive_or_immaterial,archive_only,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1b3pukg,whispersfromthedevil,image,30,11.33,0,0,157,3,0,0,1.91,,,,none,,blocked,2.2,1.71,limited,inactive_or_immaterial,archive_only,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_2bbb9e,alphawolfnecklace,image,30,10.07,0,0,303,4,0,0,1.32,,,,none,,blocked,2.2,1.71,limited,inactive_or_immaterial,archive_only,keep_in_test,validating,test_more,0.44,64
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_15jtvb3,RebeccaH,image,30,0.03,0,0,2,0,0,0,0,,,,none,,blocked,2.2,1.71,compatible,inactive_or_immaterial,archive_only,block_deploy,retired,pause,0.44,46
TheSwaf,172d0ab8-495b-4679-a4c6-ffa404c389d3,2026-05-02 11:55:22.868+00,creative_1iounru,ChristianElvenSword,image,30,0.02,0,0,1,0,0,0,0,,,,none,,blocked,2.2,1.71,compatible,inactive_or_immaterial,archive_only,block_deploy,retired,pause,0.44,46
